iyear,eventid,total
1970,62,62
1971,108,108
1972,321,321
1973,242,242
1974,238,238
1975,268,268
1976,308,308
1977,239,239
1978,354,354
1979,775,775
1980,1064,1064
1981,870,870
1982,784,784
1983,925,925
1984,978,978
1985,842,842
1986,925,925
1987,1086,1086
1988,1476,1476
1989,1720,1720
1990,1453,1453
1991,1531,1531
1992,2031,2031
1994,1356,1356
1995,1337,1337
1996,1243,1243
1997,1467,1467
1998,436,436
1999,546,546
2000,770,770
2001,884,884
2002,689,689
2003,635,635
2004,724,724
2005,1234,1234
2006,1599,1599
2007,2006,2006
2008,2202,2202
2009,2162,2162
2010,2164,2164
2011,2510,2510
2012,4399,4399
2013,6035,6035
2014,8139,8139
2015,7612,7612
2016,7066,7066
2017,5316,5316
