iyear,1,2,3,4,5,6,7,8,9,10,11,12
1970,28.0,3.0,9.0,,4.0,1.0,,16.0,,1.0,,
1971,16.0,,4.0,1.0,1.0,,,81.0,,5.0,,
1972,8.0,,6.0,,4.0,,,296.0,,6.0,,1.0
1973,26.0,,14.0,,,,,196.0,1.0,3.0,2.0,
1974,13.0,,15.0,1.0,2.0,,,193.0,1.0,11.0,2.0,
1975,15.0,5.0,11.0,,1.0,3.0,,218.0,,12.0,3.0,
1976,15.0,10.0,33.0,1.0,2.0,1.0,,229.0,,13.0,4.0,
1977,8.0,9.0,23.0,,3.0,,,153.0,1.0,30.0,12.0,
1978,13.0,61.0,48.0,4.0,21.0,2.0,,142.0,1.0,47.0,14.0,1.0
1979,16.0,196.0,81.0,1.0,49.0,21.0,,222.0,,150.0,39.0,
1980,14.0,539.0,67.0,,29.0,8.0,,214.0,,162.0,30.0,1.0
1981,8.0,448.0,96.0,,16.0,12.0,,146.0,,117.0,26.0,1.0
1982,13.0,346.0,167.0,1.0,22.0,12.0,,121.0,2.0,88.0,12.0,
1983,6.0,287.0,373.0,2.0,9.0,25.0,,117.0,1.0,75.0,30.0,
1984,6.0,247.0,359.0,,24.0,123.0,,123.0,2.0,49.0,42.0,3.0
1985,6.0,223.0,272.0,1.0,47.0,86.0,,118.0,1.0,50.0,38.0,
1986,1.0,112.0,335.0,2.0,46.0,180.0,,108.0,1.0,75.0,64.0,1.0
1987,1.0,157.0,366.0,1.0,70.0,240.0,,116.0,,77.0,58.0,
1988,2.0,129.0,415.0,,125.0,511.0,,112.0,,81.0,99.0,2.0
1989,4.0,137.0,493.0,3.0,101.0,569.0,,87.0,2.0,197.0,119.0,8.0
1990,6.0,77.0,411.0,3.0,114.0,376.0,,88.0,16.0,254.0,103.0,5.0
1991,5.0,155.0,415.0,3.0,72.0,370.0,3.0,119.0,22.0,211.0,154.0,2.0
1992,5.0,57.0,364.0,7.0,117.0,337.0,36.0,128.0,31.0,585.0,360.0,4.0
1994,24.0,53.0,82.0,11.0,68.0,194.0,36.0,84.0,28.0,520.0,252.0,4.0
1995,20.0,66.0,88.0,6.0,56.0,515.0,38.0,46.0,27.0,330.0,142.0,3.0
1996,42.0,40.0,206.0,9.0,65.0,410.0,19.0,36.0,51.0,225.0,135.0,5.0
1997,57.0,40.0,282.0,8.0,66.0,368.0,27.0,35.0,63.0,366.0,155.0,
1998,5.0,,29.0,1.0,11.0,112.0,14.0,22.0,32.0,148.0,62.0,
1999,4.0,4.0,38.0,2.0,43.0,150.0,13.0,9.0,44.0,163.0,75.0,1.0
2000,2.0,7.0,50.0,1.0,102.0,204.0,9.0,29.0,107.0,158.0,100.0,1.0
2001,11.0,2.0,97.0,6.0,82.0,252.0,9.0,24.0,101.0,207.0,93.0,
2002,2.0,,69.0,1.0,58.0,186.0,2.0,8.0,59.0,236.0,67.0,1.0
2003,1.0,2.0,44.0,1.0,76.0,198.0,1.0,3.0,48.0,208.0,52.0,1.0
2004,,5.0,23.0,2.0,53.0,238.0,5.0,8.0,26.0,341.0,23.0,
2005,1.0,1.0,32.0,1.0,125.0,357.0,4.0,8.0,35.0,626.0,44.0,
2006,5.0,5.0,28.0,,161.0,546.0,4.0,5.0,23.0,764.0,58.0,
2007,8.0,2.0,26.0,,183.0,655.0,1.0,7.0,28.0,914.0,182.0,
2008,7.0,,40.0,13.0,212.0,885.0,10.0,3.0,57.0,792.0,183.0,
2009,6.0,2.0,45.0,3.0,301.0,932.0,8.0,7.0,67.0,633.0,158.0,
2010,3.0,,18.0,1.0,207.0,955.0,4.0,5.0,100.0,712.0,159.0,
2011,,1.0,26.0,2.0,170.0,1065.0,5.0,6.0,78.0,867.0,290.0,
2012,8.0,1.0,55.0,3.0,236.0,1956.0,5.0,6.0,74.0,1345.0,710.0,
2013,11.0,5.0,68.0,10.0,408.0,2111.0,1.0,6.0,71.0,2741.0,603.0,
2014,18.0,2.0,80.0,25.0,374.0,2430.0,3.0,2.0,241.0,3633.0,1329.0,2.0
2015,17.0,,59.0,13.0,388.0,2079.0,3.0,21.0,157.0,3644.0,1230.0,1.0
2016,14.0,2.0,47.0,3.0,388.0,1785.0,9.0,30.0,38.0,3609.0,1141.0,
2017,35.0,2.0,64.0,2.0,407.0,1593.0,2.0,19.0,34.0,1943.0,1212.0,3.0
